,Cattle Prices,,,,,,,Hog prices,,Sheep & lamb prices,,,
,TX/OK Steers,"NE Steers,",   Steers:  Med. #1,   Steers:  Med. #1,   Steers:  Med. #1,   Heifers:  Med. #1,   Heifers:  Med. #1,  Barrows and gilts,  Sows,"San Angelo, TX","St. Joseph, MO","San Angelo, TX","San Angelo, TX"
NOTE: Zeros indicate missing data or no quotes.,35-65 percent Choice,65-80 percent Choice,     500-550 lb,     600-650 lb,     750-800 lb,     450-500 lb,     700-750 lb,    National base 51-52% lean (live equivalent = carcass x .74),,"     Slaughter lambs, Choice",,"     Ewes, Good","     Feeder lambs, Choice"
Period,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,$/cwt,,$/cwt,$/cwt
Apr-14,146.09,149.01,220.45,204.01,177.96,207.27,170.95,89.09,93.44,150.97,163.08,54.75,192.72
May-14,144.07,146.19,226.24,207.57,187.30,213.72,178.21,81.76,84.24,135.17,148.56,57.50,169.25
Jun-14,148.65,149.55,244.42,223.82,200.67,232.77,199.08,85.35,75.51,160.83,147.52,56.75,174.38
Jul-14,156.80,158.57,258.89,237.17,215.33,249.02,205.70,95.17,81.16,150.23,149.56,55.38,173.50
Aug-14,157.81,158.35,273.93,239.92,218.80,258.30,209.99,80.39,86.44,152.94,152.99,66.75,190.00
Sep-14,161.05,159.86,267.44,246.47,228.56,257.92,221.36,74.36,63.82,164.90,157.17,72.90,208.90
Oct-14,164.98,164.91,289.60,251.18,238.80,268.27,224.74,75.24,63.00,159.25,163.05,60.63,208.50
Nov-14,169.88,170.04,302.66,262.34,233.48,282.63,227.93,63.76,70.19,162.00,164.34,74.33,212.25
Dec-14,163.14,163.09,296.38,261.32,230.00,290.23,225.43,61.24,91.00,166.83,160.87,86.00,206.33
Jan-15,163.25,165.13,284.01,252.21,214.72,262.29,206.30,54.05,46.00,155.25,153.41,99.75,206.25
Feb-15,160.09,160.29,276.06,243.09,205.83,256.88,195.33,45.75,36.58,148.75,150.40,99.13,215.88
Mar-15,162.96,163.42,289.73,253.76,210.38,271.58,203.16,45.61,34.04,137.75,143.87,90.25,185.75
Apr-15,161.10,162.98,287.08,252.78,214.31,274.14,204.26,45.13,34.23,137.38,136.72,79.50,196.50
May-15,160.06,160.76,286.41,251.96,216.07,272.60,205.21,57.23,26.78,147.25,144.97,96.38,202.63
Jun-15,150.84,151.13,283.19,252.55,226.92,268.08,213.86,57.25,33.07,147.88,156.44,72.13,191.88
Jul-15,149.10,149.17,254.00,237.21,213.15,240.00,198.29,56.21,35.22,140.50,157.84,72.25,190.25
Aug-15,148.53,149.06,247.21,227.98,212.07,240.97,201.26,55.91,45.20,148.00,156.00,72.13,188.63
Sep-15,131.63,136.28,223.08,201.07,194.20,210.57,191.16,51.64,40.36,150.20,155.17,70.60,186.40
Oct-15,135.52,132.88,217.42,194.04,190.12,196.65,179.21,52.68,51.95,139.00,157.79,68.00,182.50
Nov-15,130.73,126.90,211.96,185.03,176.80,186.51,165.01,42.01,41.59,148.67,149.33,72.00,180.50
Dec-15,124.65,125.00,194.28,166.51,153.86,166.29,143.97,39.30,24.21,139.88,144.32,80.17,190.88
Jan-16,134.61,133.15,199.02,173.76,157.30,177.92,150.90,40.34,28.54,139.00,138.60,89.25,195.25
Feb-16,136.02,133.85,197.03,176.94,153.67,182.70,144.58,46.61,39.35,134.07,135.97,82.75,191.33
Mar-16,135.78,137.83,199.94,183.40,156.50,181.77,148.00,46.95,33.37,127.45,135.70,81.50,188.80
Apr-16,129.84,129.52,184.62,171.89,150.81,164.67,142.16,47.96,38.09,136.56,131.98,78.88,196.75
May-16,131.60,129.90,175.05,160.77,146.26,167.32,138.03,54.75,45.30,136.40,137.14,71.16,181.30
Jun-16,122.06,122.95,160.55,151.59,142.40,148.73,134.07,58.42,45.29,135.50,148.92,61.35,184.66
Jul-16,118.25,117.10,156.52,148.93,143.06,148.26,135.85,56.28,41.79,130.66,163.43,60.67,181.83
Aug-16,117.32,116.91,155.38,151.20,144.82,143.14,137.28,48.12,47.38,139.90,163.39,61.90,185.30
Sep-16,106.08,106.22,144.40,138.38,134.08,137.69,130.53,43.36,42.83,142.00,160.58,65.50,164.30
Oct-16,102.87,101.76,133.09,121.82,123.50,116.25,120.43,37.07,30.84,130.50,146.77,58.75,149.56
Nov-16,109.46,106.23,151.12,131.47,129.60,131.16,123.63,34.45,27.33,126.13,142.22,68.13,166.00
Dec-16,113.28,115.24,146.09,131.13,130.73,132.46,127.22,39.45,24.48,139.00,139.13,86.83,179.50
Jan-17,120.49,119.92,160.28,139.66,130.30,137.81,123.49,45.60,30.12,138.10,139.77,85.40,188.33
Feb-17,121.62,121.83,161.06,143.85,127.36,142.43,119.96,53.02,28.32,139.25,141.01,88.50,190.20
Mar-17,126.67,126.91,159.87,146.83,131.01,143.90,123.83,50.56,33.41,139.38,146.25,81.00,217.50
Apr-17,131.80,131.18,171.22,157.34,139.27,149.66,129.50,44.04,38.87,140.50,156.76,78.88,226.63
